_id,name,productType,unitType,dimensions.length,dimensions.width,pricing.purchasePrice,pricing.salePrice,description,createdAt,__v,code,type,unit,dimensions.area,pricing.unitCost,pricing.unitSalePrice
691c8e409c4f8c9af7c01237,PPF Matt Black,PPF,Area,15,1.52,90,100,رول حماية مطفي تجربة,2025-11-18T15:18:24.063Z,0,,,,,,
691c973f95284d8e75bb8714,على و حسين,PPF,Piece,0,0,0,4500,,2025-11-18T15:56:47.336Z,0,,,,,,
691c980c70ba23159bc8beb7,مط,PPF,Piece,0,0,21,32,,2025-11-18T16:00:12.669Z,0,,,,,,
691ca457d80b07a15847d6de,2سسس,,,15,1.52,8222,54444,,2025-11-18T16:52:39.212Z,0,55,PPF,Roll,,,
691ca5a3a6832b34244757c3,فيبم حمايه شفاف,,,15,1.52,25000,41000,,2025-11-18T16:58:11.740Z,0,0111202,PPF,Roll,,,
691caae702b245867ca5590c,شفاف,,,1500,152,25000,38000,,2025-11-18T17:20:39.271Z,0,01112025,PPF,Roll,228000,0.1096,
691cae3800d7afecaca3b4d4,مط ساتن,,,1500,152,30000,55000,,2025-11-18T17:34:48.983Z,0,554,PPF,Roll,228000,0.1316,
691daf70b5bca9e3934bfd0a,w f 1,,,30000,152,26000,41500,,2025-11-19T11:52:16.938Z,0,22556,Tint,Roll,4560000,0.005702,0.009101
691db44eb5bca9e3934bfd12,كحول,,,1,1,125,0,,2025-11-19T12:13:02.670Z,0,9878,Tint,Meter,1,125,0
691db47bb5bca9e3934bfd14,كومبوند,,,1,1,650,0,,2025-11-19T12:13:47.832Z,0,6332,Tint,Meter,1,650,0
691db49cb5bca9e3934bfd16,اسلحة قطرات,,,1,24,1200,0,,2025-11-19T12:14:20.238Z,0,655255,Tint,Meter,24,50,0
691db49eb5bca9e3934bfd18,اسلحة قطرات,,,1,24,1200,0,,2025-11-19T12:14:22.051Z,0,655255,Tint,Meter,24,50,0
691db68f1a82e9a2b5070ba5,حراب قطرات,,,1,12,2500,0,,2025-11-19T12:22:39.828Z,0,933444,قطرات,عدد,12,208.333333,0
691e8e18c334f21d2d0d4e61,HD6,,,1,1,3500,6800,,2025-11-20T03:42:16.936Z,0,065100,Screen,قطعه,1,3500,6800
691e8ed2c334f21d2d0d4e64,Normal,,,3000,152,32500,66000,,2025-11-20T03:45:22.517Z,0,05601,Plexi,رول,456000,0.071272,0.144737
